role,name,team
student,damithc,CS2113-F17-1
student,leerachel,CS2113-F17-1
student,AceCentury,CS2113-F17-1
student,GlenWong97,CS2113-F17-1
student,Tejasvas123,CS2113-F17-2
student,manaswini05,CS2113-F17-2
student,Lucria,CS2113-F17-2
student,leowweixiang,CS2113-F17-2
student,anubh-v,CS2113-F17-2
student,geshuming,CS2113-F17-2
student,JunWei96,CS2113-F17-2
